test1	7282969127763836969
诚斋集	SBCK225	[{40010-2}] 杨万里  {撰}
渭南文集	SBCK226	[{40010-2}] 陆游  {撰}
涧谷精选陆放翁诗集前集	SBCK227	[{40010-2}] 陆游  {撰}、[{40010-2}] 罗椅  {选}
水心先生文集	SBCK228	[{40010-2}] 叶适  {撰}
重校鹤山先生大全文集	SBCK229	[{40010-2}] 魏了翁  {撰}
西山先生真文忠公文集	SBCK230	[{40010-2}] 真德秀  {撰}
白石道人诗集	SBCK231	[{40010-2}] 姜夔  {撰}
后村先生大全集	SBCK232	[{40010-2}] 刘克庄  {撰}
文山先生全集	SBCK233	[{40010-2}] 文天祥  {撰}
闲闲老人滏水文集	SBCK234	[{40012}] 赵秉文  {撰}
滹南遗老集	SBCK235	[{40012}] 王若虚  {撰}
遗山先生文集	SBCK236	[{40012}] 元好问  {撰}
湛然居士文集	SBCK237	[{40013}] 耶律楚材  {撰}
秋涧先生大全集	SBCK238	[{40013}] 王恽  {撰}
剡源戴先生文集	SBCK239	[{40013}] 戴表元  {撰}
松雪斋文集	SBCK240	[{40013}] 赵孟𫖯  {撰}
静修先生文集	SBCK241	[{40013}] 静修先生文集  {撰}
清容居士集	SBCK242	[{40013}] 袁桷  {撰}
牧庵集	SBCK243	[{40013}] 姚燧  {撰年谱}、[{40013}] 刘致  {撰}
道园学古录	SBCK244	[{40013}] 虞集  {撰}
翰林杨仲弘诗集	SBCK245	[{40013}] 杨载  {撰}
揭文安公全集	SBCK246	[{40013}] 揭傒斯  {撰}
范德机诗集	SBCK247	[{40013}] 范椁  {撰}
渊颖吴先生集	SBCK248	[{40013}] 吴莱  {撰}、[{40015}] 林志烜  {札记}
金华黄先生文集	SBCK249	[{40013}] 黄溍  {撰}
圭斋文集	SBCK250	[{40013}] 欧阳玄  {撰}
柳待制集	SBCK251	[{40013}] 柳贯  {撰}
萨天锡诗集	SBCK252	[{40013}] 萨都剌  {撰}
张雨集	SBCK253	[{40013}] 张雨  {著}
九灵山房集	SBCK254	[{40013}] 戴良  {撰}
倪云林先生诗集	SBCK255	[{40013}] 倪瓒  {撰}
东维子文集	SBCK256	[{40013}] 杨维桢  {著}
铁崖先生古乐府	SBCK257	[{40013}] 杨维桢  {撰}
宋学士文集	SBCK258	[{40014}] 宋濂  {撰}
太师诚意伯刘文成公集	SBCK259	[{40014}] 刘基  {撰}
清江贝先生文集	SBCK260	[{40014}] 贝琼  {撰}
苏平仲文集	SBCK261	[{40014}] 苏伯衡  {撰}
高太史大全集	SBCK262	[{40014}] 高启  {著}
高太史凫藻集	SBCK263	[{40014}] 高启  {撰}
逊志斋集	SBCK264	[{40014}] 方孝孺  {撰}
家藏集	SBCK265	[{40014}] 吴宽  {撰}
阳明先生集要	SBCK266	[{40014}] 王守仁  {撰}
重刊荆川先生文集	SBCK267	[{40014}] 唐顺之  {撰}
震川先生集	SBCK268	[{40014}] 归有光  {著}
亭林诗集	SBCK269	[{40015}] 顾炎武  {撰}
亭林余集	SBCK270	[{40015}] 顾炎武  {撰}
南雷集	SBCK271	[{40015}] 黄宗羲  {撰}
姜斋诗文集	SBCK272	[{40015}] 王夫之  {撰}
牧斋初学集	SBCK273	[{40015}] 钱谦益  {撰}
牧斋有学集	SBCK274	[{40015}] 钱谦益  {撰}
梅村家藏槁	SBCK275	[{40015}] 吴伟业  {撰}
渔洋山人精华录	SBCK276	[{40015}] 王士祯  {撰}
尧峰文钞	SBCK277	[{40015}] 汪琬  {撰}
曝书亭集	SBCK278	[{40015}] 朱彝尊  {撰}
陈迦陵文集	SBCK279	[{40015}] 陈维崧  {撰}
敬业堂诗集	SBCK280	[{40015}] 查慎行  {撰}
方望溪先生全集	SBCK281	[{40015}] 方苞  {撰}
樊榭山房集	SBCK282	[{40015}] 厉鹗  {撰}
惜抱轩诗文集	SBCK283	[{40015}] 姚鼐  {撰}
戴东原集	SBCK284	[{40015}] 戴震  {撰}
鲒埼亭集	SBCK285	[{40015}] 全祖望  {撰}
鲒埼亭诗集	SBCK286	[{40015}] 全祖望  {撰}
洪北江诗文集	SBCK287	[{40015}] 洪亮吉  {撰}
孙渊如诗文集	SBCK288	[{40015}] 孙星衍  {撰}
抱经堂文集	SBCK289	[{40015}] 卢文弨  {撰}
潜研堂文集	SBCK290	[{40015}] 钱大昕  {撰}
述学	SBCK291	[{40015}] 汪中  {撰}
容甫先生遗诗	SBCK292	[{40015}] 汪中  {撰}
研经室一集	SBCK293	[{40015}] 阮元  {撰}
大云山房文稿初集	SBCK294	[{40015}] 恽敬  {撰}
定盦文集	SBCK295	[{40015}] 龚自珍  {撰}
定盦文集补编	SBCK296	[{40015}] 龚自珍  {撰}
茗柯文	SBCK297	[{40015}] 张惠言  {撰}
茗柯文补编外编	SBCK298	[{40015}] 张惠言  {撰}
曾国藩诗集	SBCK299	[{40015}] 曾国藩  {著}
六臣注文选	SBCK300	[{40006-3}] 萧统  {撰}
玉台新咏集	SBCK301	[{40006}] 徐陵  {辑}
中兴闲气集	SBCK302	[{40008}] 高仲武  {辑}、[{40015}] 何焯  {校}
河岳英灵集	SBCK303	[{40008}] 殷璠  {辑}、[{40015}] 孙毓修  {校}
国秀集	SBCK304	[{40008}] 芮挺章  {辑}
才调集	SBCK305	[{40008}] 韦觳  {辑}
古文苑	SBCK306	[{40010-2}] 章樵  {注}
唐文粹	SBCK307	[{40010-1}] 姚铉  {纂}、[{40015}] 林志烜  {校}
西昆酬唱集	SBCK308	[{40010-1}] 杨亿  {著}
乐府诗集	SBCK309	[{40010-1}] 郭茂倩  {辑}
皇朝文鉴	SBCK310	[{40010-2}] 吕祖谦  {辑}
中州集	SBCK311	[{40012}] 元好问  {辑并撰}
谷音	SBCK312	[{40013}] 杜本  {辑}
河汾诸老诗集	SBCK313	[{40013}] 房祺  {辑}、[{40015}] 孙毓修  {校}
元文类	SBCK314	[{40013}] 苏天爵  {编}
皇元风雅	SBCK315	[{40013}] 传习  {辑}、[{40013}] 孙存吾  {辑}
皇明文衡	SBCK316	[{40014}] 程敏政  {辑}
文心雕龙	SBCK317	[{40006}] 刘勰  {著}
唐诗纪事	SBCK318	[{40010-1}] 计有功  {撰}
增修诗话总龟	SBCK319	[{40010-1}] 阮阅  {撰}
花间集	SBCK320	[{40009}] 赵崇祚  {撰}
乐府雅词	SBCK321	[{40010}] 曾慥  {辑}
唐宋诸贤绝妙词选	SBCK322	[{40010}] 黄晟  {辑}
中兴以来绝妙词选	SBCK323	[{40010}] 黄晟  {辑}
增修笺注妙选草堂诗余	SBCK324	[{40010-2}] 何士信  {撰}
朝野新声太平乐府	SBCK325	[{40013}] 杨朝英  {撰}
仪礼疏	SBCK326	[{40008}] 贾公彦  {撰}
春秋正义	SBCK327	[{40006-2}] 孔颖达  {撰}
尔雅疏	SBCK328	[{40010-1}] 邢炳  {撰}
汉上易传	SBCK329	[{40010-2}] 朱震  {撰}
周易要义	SBCK330	[{40010-2}] 魏了翁  {撰}
礼记要义	SBCK331	[{40010-2}] 吕祖谦  {著}
礼记要义	SBCK332	[{40010-2}] 魏了翁  {撰}
孔氏祖庭广记	SBCK333	[{40010-1}] 胡安国  {撰}
东莱吕太史春秋左传类编	SBCK334	[{40010-2}] 吕祖谦  {撰}、[{40016}] 胡文楷  {校勘}
七经小传	SBCK335	[{40010-1}] 刘敞  {撰}
读四书丛说	SBCK336	[{40013}] 许谦  {撰}
群经音辨	SBCK337	[{40010-1}] 贾昌朝  {撰}
急就篇	SBCK338	[{40003}] 史游  {撰}、[{40008}] 颜师古  {注}
汗简	SBCK339	[{40006-9}] 郭忠恕  {撰}
龙龛手鉴	SBCK340	[{40011}] 释行均  {撰}
切韵指掌图	SBCK341	[{40010-1}] 司马光  {撰}
附释文互注礼部韵略	SBCK342	[{40010-2}] 佚名  {撰}
贞观政要	SBCK343	[{40008}] 吴兢  {撰}
元城先生尽言集	SBCK344	[{40010-1}] 刘安世  {撰}
孔氏祖庭广记	SBCK345	[{40012}] 孔元措  {撰}
诸葛武侯传	SBCK346	[{40010-2}] 张栻  {撰}、[{40016}] 张元济  {校勘}
马氏南唐书	SBCK347	[{40010}] 马令  {撰}
陆氏南唐书	SBCK348	[{40010-2}] 陆游  {撰}
吴越备史	SBCK349	[{40015}] 范坰  {撰}
麟台故事	SBCK352	[{40010-1}] 程俱  {撰}、[{40015}] 张元济  {撰校勘记}
作邑自箴	SBCK353	[{40010-1}] 李元弼  {撰}
金石录	SBCK354	[{40010-1}] 赵明诚  {撰}
张子语录	SBCK355	[{40010-1}] 张载  {撰}、[{40015}] 张元济  {撰校勘记}
龟山先生语录	SBCK356	[{40010-1}] 杨时  {撰}、[{40015}] 张元济  {撰校勘记}
程氏家塾读书分年日程	SBCK357	[{40013}] 程端礼  {撰}
棠阴比事	SBCK358	[{40010-2}] 桂万荣  {撰}
图书见闻志	SBCK359	[{40010-1}] 郭若虚  {撰}
法书考	SBCK360	[{40013}] 盛熙明  {撰}
啸堂集古录	SBCK361	[{40010-2}] 王俅  {撰}
饮膳正要	SBCK362	[{40013}] 忽思慧  {撰}
容斋随笔	SBCK363	[{40010-2}] 洪迈  {撰}
梦溪笔谈	SBCK364	[{40010-1}] 沈括  {撰}
愧郯录	SBCK365	[{40010-2}] 岳珂  {撰}
云溪友议	SBCK366	[{40008}] 范摅  {撰}、[{40015}] 张元济  {撰校勘记}
云仙杂记	SBCK367	[{40008}] 冯贽  {撰}
挥尘前录	SBCK368	[{40010-2}] 王明清  {撰}
清波杂志	SBCK369	[{40010-2}] 周𪸩  {著}
楹史	SBCK370	[{40010-2}] 岳珂  {撰}
续幽怪录	SBCK371	[{40008}] 李复言  {撰}
括异志	SBCK372	[{40010-1}] 张师正  {撰}
东皋子集	SBCK373	[{40008}] 王绩  {撰}、[{40015}] 张元济  {撰校勘记}
宋之问集	SBCK374	[{40008}] 宋之问  {撰}
郑守愚文集	SBCK375	[{40008}] 郑谷  {撰}
朱庆余诗集	SBCK376	[{40008}] 朱庆余  {撰}
周贺诗集	SBCK377	[{40008}] 周贺  {撰}
李丞相诗集	SBCK378	[{40008}] 李建勋  {撰}
雪窦显和尚明觉大师颂古集	SBCK379	[{40010}] 释重显  {撰}
山谷外集诗注	SBCK380	[{40010-1}] 黄庭坚  {撰}、[{40010-1}] 史容  {注}
嵩山文集	SBCK381	[{40010-1}] 晁说之  {撰}
北山小集	SBCK382	[{40010-1}] 程俱  {撰}
沈忠敏公龟溪集	SBCK383	[{40010-2}] 沈与求  {撰}
韦斋集	SBCK384	[{40010-2}] 朱松  {撰}、[{40010-2}] 朱槔  {撰}
东莱先生诗集	SBCK385	[{40010-2}] 吕本中  {撰}
范香溪先生文集	SBCK386	[{40010-2}] 范浚  {撰}
石屏诗集	SBCK387	[{40010-2}] 戴复古  {撰}
平斋文集	SBCK388	[{40010-2}] 洪咨夔  {撰}
四六标准	SBCK389	[{40010-2}] 李刘  {著}
郑思肖集	SBCK390	[{40010-2}] 郑起  {著}、[{40010-2}] 郑思肖  {著}、[{40013}] 仇远  {著}
先天集	SBCK391	[{40010-2}] 许月卿  {撰}
叠山集	SBCK392	[{40010-2}] 谢枋得  {撰}
萧冰崖诗集拾遗	SBCK393	[{40010-2}] 萧立之  {撰}
许白云先生文集	SBCK394	[{40013}] 许谦  {撰}
存复斋文集	SBCK395	[{40013}] 朱德润  {撰}
青阳先生文集	SBCK396	[{40013}] 余阙  {撰}
蜕庵诗	SBCK397	[{40013}] 张翥  {撰}
张光弼诗集	SBCK398	[{40013}] 张昱  {撰}
茗斋集	SBCK399	[{40015}] 彭孙贻  {撰并辑}
